airtable_allocation_id,partner,decision_date,state,allocation_amount,serial,sheet_link,hinted_sheet_code,hinted_sheet_sequence,amount_mismatch
LCC.AD.Avaaz.25-06-23.291,rec0zenRjhJso1RvU,2025-06-23,Khartoum,160000,291,none,,,
LCC.AD.Avaaz.25-06-23.292,rec0zenRjhJso1RvU,2025-06-23,Al Jazirah,40000,292,none,,,
LCC.AD.Avaaz.25-06-23.293,rec0zenRjhJso1RvU,2025-06-23,North Darfur,97000,293,none,,,
LCC.AD.Avaaz.25-06-23.294,rec0zenRjhJso1RvU,2025-06-23,Blue Nile,35000,294,none,,,
LCC.AD.Avaaz.25-06-23.295,rec0zenRjhJso1RvU,2025-06-23,West Kordofan,50000,295,none,,,
LCC.AD.Avaaz.25-06-23.296,rec0zenRjhJso1RvU,2025-06-23,South Kordofan,43000,296,none,,,
LCC.AD.Avaaz.25-06-23.297,rec0zenRjhJso1RvU,2025-06-23,White Nile,20000,297,none,,,
LCC.AD.Avaaz.25-06-23.298,rec0zenRjhJso1RvU,2025-06-23,North Kordofan,40000,298,none,,,
LCC.AD.Gisa.23-11-15.299,recDQeJx2WBdZ2s9B,2023-11-15,Khartoum,180000,299,none,,,
LCC.AD.Gisa.23-11-15.300,recDQeJx2WBdZ2s9B,2023-11-15,East Darfur,28000,300,none,,,
LCC.AD.Gisa.23-11-15.301,recDQeJx2WBdZ2s9B,2023-11-15,North Darfur,58400,301,none,,,
LCC.AD.Gisa.23-11-15.302,recDQeJx2WBdZ2s9B,2023-11-15,South Darfur,13600,302,none,,,
LCC.AD.Gisa.23-11-15.303,recDQeJx2WBdZ2s9B,2023-11-15,West Darfur,10000,303,none,,,
LCC.AD.P2H.25-01-15.1,recAoKLIxff3J74l5,2025-01-15,Contingency Fund,32170,1,none,,,
LCC.AD.P2H.25-05-14.69,recAoKLIxff3J74l5,2025-05-14,LCC,5000,69,likely_hint_only,LCC.AD.P2H.14-05-25-10,LCC.AD.12-11-24-10-07,-866
LCC.AD.P2H.25-05-21.72,recAoKLIxff3J74l5,2025-05-21,LCC,5000,72,none,,,
LCC.AD.P2H.25-05-28.90,recAoKLIxff3J74l5,2025-05-28,LCC,5000,90,likely_hint_only,LCC.AD.P2H.14-05-25-11,LCC.AD.12-11-24-11-01,5000
LCC.AD.P2H.26-02-14.423,recAoKLIxff3J74l5,2026-02-14,Kassala,0,423,none,,,
LCC.AD.P2H.26-02-14.424,recAoKLIxff3J74l5,2026-02-14,Khartoum,0,424,none,,,
LCC.AD.P2H.26-02-14.470,recAoKLIxff3J74l5,2026-02-14,Al Jazirah,0,470,none,,,
LCC.AD.P2H.26-02-14.471,recAoKLIxff3J74l5,2026-02-14,Blue Nile,0,471,none,,,
LCC.AD.P2H.26-02-14.472,recAoKLIxff3J74l5,2026-02-14,Central Darfur,0,472,none,,,
LCC.AD.P2H.26-02-14.473,recAoKLIxff3J74l5,2026-02-14,East Darfur,0,473,none,,,
LCC.AD.P2H.26-02-14.474,recAoKLIxff3J74l5,2026-02-14,North Darfur,0,474,none,,,
LCC.AD.P2H.26-02-14.475,recAoKLIxff3J74l5,2026-02-14,North Kordofan,0,475,none,,,
LCC.AD.P2H.26-02-14.476,recAoKLIxff3J74l5,2026-02-14,Northern,0,476,none,,,
LCC.AD.P2H.26-02-14.477,recAoKLIxff3J74l5,2026-02-14,River Nile,0,477,none,,,
LCC.AD.P2H.26-02-14.478,recAoKLIxff3J74l5,2026-02-14,Sennar,0,478,none,,,
LCC.AD.P2H.26-02-14.479,recAoKLIxff3J74l5,2026-02-14,South Darfur,0,479,none,,,
LCC.AD.P2H.26-02-14.480,recAoKLIxff3J74l5,2026-02-14,South Kordofan,0,480,none,,,
LCC.AD.P2H.26-02-14.481,recAoKLIxff3J74l5,2026-02-14,West Darfur,0,481,none,,,
LCC.AD.P2H.26-02-14.482,recAoKLIxff3J74l5,2026-02-14,West Kordofan,0,482,none,,,
LCC.AD.P2H.26-03-26.466,recAoKLIxff3J74l5,2026-03-26,South Kordofan,14601.79,466,none,,,
LCC.AD.P2H.26-03-26.675,recAoKLIxff3J74l5,2026-03-26,South Kordofan,-14601.79,675,none,,,
LCC.AD.P2H.26-05-06.541,recAoKLIxff3J74l5,2026-05-06,Contingency Fund,100,541,none,,,
LCC.AD.P2H.26-06-21.579,recAoKLIxff3J74l5,2026-06-21,North Kordofan,300000,579,none,,,
LCC.AD.P2H.26-06-21.657,recAoKLIxff3J74l5,2026-06-21,North Kordofan,300000,657,none,,,
LCC.AD.P2H.26-06-21.670,recAoKLIxff3J74l5,2026-06-21,North Kordofan,400000,670,none,,,
